Kapampangan,English
Pilatan,"Intermediate, interval"
Pildis,"To turn, like the style/fashion, or to turnascrew"
Pili,"Twined, like fiber, or thread"
Pilig,"That which is shaken off, past, Pilig"
Piling,That act of turning / shaking the head to say no
Pilis,to choose; to select; entirely synonymous with pilis
Pilit,"A dve rb , inev itably , nec ess a rily"
Pilo,"N oun , pre text, fake exc use , inor der not towo rk"
Piloc,"A d jectiv e , acu ttingtool w ithac roo ked , orb luntede dge"
Pilpil,"A c tivev e rb , pas t, M enipil"
Pinac,"N oun , mar shland , pon d , small lak e"
Pinan,"N oun , lo inclo th"
Pindan,"Pindanpindanan, a th ingn otw e llpe rceived , likethat ofo new hoishalf- aslee p"
Pindang,"A d jectiv e , d riedb eef, je rked bee f, bys ubs titu tionit isve n ison"
Pindao,"Neutralverbanditsinfin itive , mamindao"
Pinduan,", diverse , ord ifferent inkind , likemanandhorse , anda lsolikea writtenartic lediffe ringwith another, onechap terw ithano therchapter, iftheya reofd iversespecie s"
Pin?As,"Said of an earthen jar whose ears or handles/handle are tom off, and for those who have ears, if one is missing, or both are missing"
Pingcoc,"clawhand; trembling hand (like pingcao but affecting the hand, not the foot)"
Pin?Ul,"Earlobe, the soft and lower part of an ear"
Pinlac,"Past, Pininlac, that which is bought altogether"
Pinoro,"A certain finish/make of gold, like trinkets, or small necklaces"
Pinpin,"Divide, set aside, to separate"
Pintacasi,"Said of patron saints, or of work done with the help of others costing nothing more than praying to them"
Pintas,A thing reproved due to defects
Pinto,Defined already
Pio,"Gout, rotting abscess"
Pipi,"Mute, dumb, orauseless fruit"
Pipis,"To spread out, or stretch, like dough, and cotton in certain pressers"
Piraya,to deceive in a deal or on a given word
Piral,to go around or encircle
Pirat,to pluck or pull out (e.g. feathers or hair)
Pisac,"N oun , darkne s s"
Pisan,"A d jectiv e , cou s in"
Pisi,lacking a small part (like a chipped plate or a crescent moon)
Pisic,to splash; to bespatter with dirt
Pisig,to shake off; to pull or drag back and forth
Pising,"A d jectiv e , ano tche dob ject, likee a rthen ware , cop perwar e , org lass ware"
Pisngi,"N oun , che e k , tha twh ichisbe lowthetemp le"
Pispis,to clean something with the hand or a brush
Pitac,a small box or small drawer (in a writing table or on one side of a chest)
Pitas,"Capitas, one piece, or one length that is cut off"
Pitic,"A sudden flip from contact with the thumb, or quick snap ofafinger, a quick blow with the end ofafinger"
Pitis,"A measure, which makesahalf ganta, or two andahalf pints"
Pitn?A,"Past, pinitnga, in behalf of whom, and the one with whom"
Popao,"skim or scum on nasi (rice water), milk, or wax"
Pota,"Of time, by and by, about, shortly, atapoint in time"
Puad,"The thigh, the upper part of the leg"
Puapo,Fish hook / bait in fishing
Pucat,"Fishing net, in general"
Pucli,path; trail (see pacli)
Pucnat,"A d jectiv e , ano b ject that isstr ippe dof bark , like a tre e"
Pucpuc,to drive in or strike a hard object with a hard implement
Pucquian,to bind in separate bundles
Pucquiutan,bee; bumblebee
Pucsa,"N eutralv e rb , Pupucsa, and that"
Pucul,"A c tivev e rb , ipucu"
Pucut,a large net used near the sea coast of Manila
Pudpud,[sic ?
Puga,"N oun , f ishe ggs , roe"
Pugapu,M acapugapu
Pugay,"A c tivev erb , m ammav"
Puguita,"N oun , octopu s , cuttle fis h , and a lso thefilmon theey e"
Pugu,quail (a ground-dwelling bird)
Pugung,to hold back; to restrain; to stop someone from speaking or acting
Pugut,"A d jectiv e , one who com esfromthen egro race"
Puyat,Without sleep
Puyud,"A bundle of cotton on the distaff, ready for weaving, or spinning"
Pujonan,"Capital, principal sum invested"
Pula,Shortness of vision
Pulao,Plumes of an arrow
Pulayi,Running race
Pulan,"Pupulan, or, pulanpulan, a thing taken for granted, or despised and rejected"
Pulang-Gus,"Or, Pulung-gus"
Pulas,"Past, Pilsan, the work in which they helped, after turning around from the work they themselves have finished; also the place, orasimilar place"
Puldung,"A ctive verb, past, Minuldung, and its infinitive, mamuldune"
Puli,"Imputing bad, or good traits to heredity"
Pulupulu,The crown or vortex like formation of the hair off-center towards the back of the head
Pulus,"Pure, without any misture"
Pulut,"Honey, in general; also molasses"
Pungapul,"Says one who is already free, in relation to the master who used to command him asaslave"
Pungca,"To knock downatree orahouse towards one side, P"
Pungcul,to gather or collect into a pile
Pung-Guc,"A thing without edge, or withaworn-out point, opposite of tiemus"
Pung-Gung,Synonymof Pung-guc
Pung-Gus,"N oun , shr oud , w indings hee t"
Pungpung,chastisement; punishment (opposite of reward); also: reward for good news
Pungsu,a mound of earth where termites live and thrive
Pun?Ul,"A d jectiv e , ane w -bornba b y ; aninfa ntfeed ingo n theb reas t"
Pun?Us,"A d jectiv e , cro ppe d - ear e d"
Pun?Ut,"one with the top lopped or cut off (a tree, tower, or beheaded man)"
Punla,"A d jectiv e , saidof theseeds sowed toge ther atthes ta rt, liketoba cco , le ttuce , radis h , pala y , etc"
Punti,to diminish; to reduce little by little
Punut,fabric or clothing made from coconut fiber
Pupu,to cut off at the base (as a tree)
Pupuc,"C e rta inun c ture ofthefo rehe adfrombuyo, asu per s titionthat isno long erp rac ticed"
Pupud,"A d jectiv e , res idue (butt) of a burned object, likec igar, can d le"
Pupug,"N oun , sma llbu bbleso n thew a te r, cau sed bythefis h , orc roc odile at itwa gglesth roug h thew a te r; v aria tio n : thefish , orthec roc odile"
Pupul,to gather or harvest fruits
Pupus,"Leaves nothing, completely, totally"
Puput,"Puput lub, puput ysip, restrained feeling, restrained mind, feeling dissipated"
Puqui,"The female sex organ, a dirty word"
Purac,A known tree/ plant and its flowers
Puracsing,An atom
Puri,"Praise, glory, honor and is also used to mean virginity, in as much as its loss connotes loss of honor"
Puru,"The small fruits of the Samat, and because when they appear on the Samat, they are very thick and dense (great quantity), from this they would say of any tree laden/ heavy with fruits, Mumuruyan bunga"
Purul,Bluntness of the cutting edge ofatool
Pusa,Ica and Maca
Pusad,"Umbilical cord, or navel, and is said of the end point ofabanana, where they cut it off, or peel it at meals"
Pusan,"Is formed with Ipapusan, & P"
Pusiao,"Antian pusiawan, one who speaks inahigh pitch, likeawoman, oracastrated man /eunuch"
Putut,"Bob-tailed, short-tailed, like the deer"
Quebaintauan,"Derived from Baintauo, meaning, youth in all its vigor"
Queganagana,"Queracaldacal, in whole, altogether"
Quera,"That which; and also, Yquera mo quing dasay, you lie down on the mat"
Queuoc,The shriek of the hen when it is caught
Quiac,"The cry ofachild, and also of the piglet"
Quiapo,"Quiapo, it has no other name"
Quibit,"A distorted thing, out of proportion, like, the jaw, orasquare thing with sides that are not even/equal, either already done, or even done well, but placed slanted, or in reverse"
Quibul,pulsation; bubbling like an artery
Quicquan,"A d jectiv e , abo r tedfe tu s"
Quid,to incline or tilt to one side
Quilabut,"Therais ingofhairs , ortinglingsensation / goosep impleson thesk inbecauseofsudden fear, orsuddenco ld"
Quilai,eyebrow
Quilala,to recognize; to know someone by sight
Quilang,"N oun , w inem ade fromsuga r cane"
Quilao,"N oun , you ngd eer (likecu a ) cub , whe lp"
Quilap,glare; sparkle (as of glass turned toward light)
Quilaquil,a white parrot; also known as calangay
Quilaquila,"T o look atw ithca u tionfromh ere to there , orw ith forb odin g , orsu"
Quildap,"N oun , lightn in g"
Quilib,to spread out hay on a raft for seedlings
Quilic,to turn or twist sideways
Quilim,to glow; to glimmer (like tinsel or a restless shining object)
Quiling,tilted to one side; higher on one side (as a listing boat)
Quiliquili,"N oun , arm p it"
Quilis,"That which is moved, like an inkwell, which is shaken, or pushed aside"
Quilit,"Said of one who stares with squint eyes, or with one eye"
Quilo,Rafters
Quilus,Synonym of Quilis
Quimao,"Claw-hand, the fingers become crooked"
Quimbus,"M i,-w ith company"
Quimi,"Quimiquimi, to become reticent, likeabashful boy"
Quimil,"Quimilquimil, same as Quimi"
Quimut,"Future, Quimut, and its frequentative, quimutquimut"
Quinab,"The luster, gloss of burnish, or polished, or greased object"
Quinaquin,"Manginaquin, menginaquin, to swing ones foot playfully while seated, or on the floor, as is the habit of many, P"
Quindat,"N eutral verb and its infinitive, to arch the eyebrows, in admiration, or in givingasignal"
Quinding,The struttiong ofawoman while dancing withaman
Quingquing,"Piquingquin?an, that of which one is afraid, or trembles thus"
Quintal,"Hot iron used for marking, or branding animals, or slaves"
Quitquit,can barely open the eyes (from eye discharge or drowsiness)
Quiual,"And its frequentative, auiualquiual"
Saba,"A species of banana, called banana bishop"
Sabac,"The dry bark of the betel palm, or the layered barks of the banana trunk"
Sabagal,"Corpulent up to the face; you could not distinguish the form for being so fat, from top to bottom"
Sabing,Synonym of Sabai
Sab?T,"To hang an object, as onahook or nail"
Sabla,"All, everything (all men, all things) All, or everybody"
Sablasa,Of congruence
Sabpang,that which is adjacent or alongside
Sabsab,to eat greedily (as animals eat)
Sabu,to pour; to spill
Sabuat,an appellation used among members of the same family
Sabug,to throw water at something; to let water flow over
Sabul,to raise foam; to beat (eggs) or row (a boat) until foam appears
Sacbibi,breeches; cloth knotted at the back of the neck to carry a load
Sac-Clo,"That with which, like banga"
Sacdal,something that has reached its limit (e.g. gold at its maximum carats)
Sacdapul,a grave curse; may you be consumed by fire; may you be destroyed
Sacdo,to scoop up with the hands
Saclang,to open or spread the legs (as when riding a horse)
Saquiud,to draw out water or liquid using a ladle rather than a vessel
Sacsag,to pack tightly; to stuff something full
Sacsi,witness
Sacul,to plant sugarcane or gabi (yam)
Sacung,heel; heel bone
Sacup,subject; vassal; person under a jurisdiction; territory
Sacurut,speaking or acting precipitously; moving or speaking at great speed
Sad-Dia,habitual; usual; accustomed; disposed and ready
Sadsad,arrived at its destination; reached its peak or perfection
Saga,N eutral ver ban d that
Sagacgac,to laugh boisterously; to guffaw
Sagad,to scrape (as cloth scraping the body)
Sagan,lazy; indolent
Sa?Ana,"N eutral verb , manvaeana"
Sagap,to catch or intercept something
Sagca,to put a wedge or iron stake to hold an object in place
Sagcul,N eutral ver ban d that
Saglap,something acquired in addition to the intended item
Saglavai,to grope for something underwater or in the dark
Sagquil,"Nun insan masaquit, yan misagquil"
Sagsag,to split open from top to bottom (as a bamboo)
Sagu,horn (in general)
Saguiud,an object that drags because it is heavier at the rear
Saguli,a short while; briefly
Sagum,to mix drinks; to blend beverages
Sagunsun,to push all to one side; to crowd to one end
Saya,merriment; outward gaiety
Sayad,to run aground; to hit the bottom
Sayang,wasted; lost for nothing; what a pity
Sayat,A d jectiv e
Sayng,pitch; tar; artificial bitumen (used to make torches)
Sayt,to repeatedly pick up or bring small morsels of food to the mouth
Saytsaytan,"N oun , purs lane , aplant use d in"
Sayo,"N oun , pus , cor ruptedm a ttero rblood p lasm aoo z ingfroma wou n d , ord rain {fu en te)"
Sala,a network or rack of bamboo slats for drying food; also: light or clarity; also: fault or blame; also: missed monthly period
Salab,"to bring near a flame to dry, singe, or scorch (e.g. pork); to bend bamboo with heat"
Salacata,Or Salcata
Salacbay,like salabat; a street that branches off from another
Salacsac,"To stuff in or cram, or to refill"
Salacup,"N eutral verb and its infinitive, salacup"
Saladsad,"The footof a mountain, which is not the plain, but the slopes, where it goes sloping down to the plain"
Salagsay,"Or, Salagsag"
Salay,"Nest of birds/ fowls, except the hens (pugad)"
Salalac,to straddle a branch or beam
Salalay,"The timber on which the rod, or the boards of the wall are buttressed, or braced"
Salamat,Interjection of joy
Salangsalang,"a bamboo split at one end, used to draw earth from a deep hole, then fitted with cross braces for hanging"
Salangsang,"To contradict, to withstand, to oppose"
Salansan,"Poor, beggar"
Salap,"A net shaped likeapouch, used for fishing, like shrimps, bundalag"
Salapang,"Harpoon, or javelin"
Salapi,"Silver money, which asawhole is one toston"
Salapong,something that splits into two ends (like the tongue of an iguana)
Salbat,anguish; grief; affliction born of love
Saldac,"To drop something forcibly on the floor, likeaburden which is too heavy"
Salesay,"To untangle, unravel, like hair, or threads"
Salya,"Also, neutral verb of Ma, to leaveathing un accomplished"
Sali,"Sap, juice of lemon, herb, or fresh bark, which they extract by pounding"
Salibad,Synonym of Sabilay
Salibabi,"Past, Selibabi, or, selibabian, the many against whom one gets infuriated"
Salimbay,"The place where, selimbavan"
Salimbad,Related to Salibad
Salimpapao,"Superficially, on the surface"
Salimpat,"The extremity ofatapis, which is its edge, that falls up to the buttocks, opposite of Salucsucan"
Salimoot,"Said ofatawny timber, whose grains, or veins are not straight, but misalisi, opposite each other, and such timbers are to be avoided when makingabanca"
Salimotmot,"The same, but not said of flowers"
Salin,To transplant the sinabud
Salindo,"N eutral verb and its infinitive, salindo"
Saling,one who shares a bed with another person
Salin?Asang,"Ca, and an"
Salirangdang,"N eutral verb , and that"
Salpac,"Tartness in taste, like the seedy banana, or the unripe banana"
Salpantaya,"And its verbal infinitive, salvantvava"
Salpitic,"Celerity, nimbleness, liveliness"
Salquic,"Blunt, obtused object, likeanail that has no sharp point, or likeapaint brush that is not pointed"
Salu,"Props, the meddle post, which supports the floor of the house"
Salual,"Drawers, short underwear"
Salubasib,"A funnel, orasmall tube/pipe"
Salubung,That with which
Saluc,"Shovel, or scoop, or throwel, used to gather or collect garbage"
Salucab,"Covering, like the upper lid ofabox of powder/snuff, the stopper ofabottle, the top shell of an oyster, including all that is placed as covering for the contents ofavessel, like an empty vat turned upside down used asacovering"
Salucbit,"A ctive verb and its infinitive, manvalucbit"
Salucsuc,to search determinedly for an object even if it is buried underground
Salud,to meet and welcome someone; to receive arriving guests
Salumbaba,to rest the chin on ones arm while thinking or daydreaming
Salun,"N oun , I lln ess"
Salonday,smooth and slippery; gliding motion
Salunsun,"Neutralverbanditsinfin itive , togo inpursuit, tofe tcha ndlookfo , likethathemaycomed irectly , orh imso methin g"
Salungsung,to pile or stack one on top of another
Salun?A,to descend; to go downward
Salon?At,"With the same variations, to cut against the grain, to swim against the current"
Salupil,cover placed to keep contents from spilling out
Salupsup,suspicion; mistrust
Salusad,red biting ants
Salusu,speed; velocity
Salot,blighted; withered; lacking sap (of plants)
Salut,plague; pestilence; scourge
Sama,hatred; abhorrence; strong aversion
Samac,companion; partner in a contract or co-godparent at baptism
Sambong,a type of grass with sage-like blades; used medicinally
Sambut,winnings from a bet or wager
Samil,thatched nipa shed or shelter
Samio,fragrance; pleasant scent of flowers
Samo,"Pisamoan, pisamo, to make into one group , or opinion, those which used to be contrary to each other"
Sampaga,"Flower, in general; verb: manvampaga, to bear flowers, or the flowering of plants"
Sampaloc,"Tamarind, the tree, flowers, and leaves"
Sampat,Beauty in general
Sampayot,"To become drawn toaplace, or to tarry inaplace along the way"
Sanap,"Sanapan, senapan, the place"
Sandal,"What is leaning against, either the person himself, oracane, orashotgun"
Sandali,A fragrant stick/ wood
Sandata,Weapons / arms in general
Sandiquil,"A thing that exceeds, or excels, or stands out in some part"
Sandirit,"An instrument/ device that turns around with the wind, to drive away the sparrows from the field"
Sangcan,"That which one uses as an excuse, like the pretext, occasion, reason, or pretense"
Sangcap,"Saidof an adherent part, or simple ingredient, foracertain compound, or entirely artificial (less logical)"
San?Il,"Cruelty, inhumanity, impiety"
San?Elo,"Certain species of betel leaves, Samat, yellow in color"
San?It,"Concupiscence, violent/ strong natural appetite, and it comes from covetousness"
Sanglad,"To bar the boat purposely to the shore or bank, to dock"
Sango,That which
Sangpa,"to bring up to a higher surface (from floor to table, or table to shelf above)"
Sangpad,The front and back ofaroof (not the long sides)
Sangqui,Anise/aniseed imported from China
Sangsang,"That piercing itch that goes to the head through the nostrils, due to the strong smell of the powder, or fumes of the mustard, or the smoke ofastrong tobacco, when it is sniffed, or chewed, or strong wine when it is sniffed and goes up to the head"
Sangtabi,Interjection of courtesy
Sapala,"Rude, unmannerly words, biting remarks, Amanung sapal"
Sapat,"To hoard, or gather the grains of palay, putting them into the lonlon, (rice granary), during harvest time"
Sapi,Cowhide for flogging
Sapic,"1 Sepic, that with which one is splattered"
Sapin,"Lining, that is"
Sapinit,"Thorny bushes, or weeds/brambles"
Saping,The jaws of an animal
Sapin?Il,"Past, sepin?il, to whom suchapulling is done; ad invicem"
Sapinlit,To pull violently and obj ect / or thing
Saplad,"To close the opening, or floodgate ofatabn (dam)"
Saplala,Synonymof Bunyi
Saplit,"To wound superficially/ obliquely, so it does not penetrate well"
Saplut,"Raiment, derogatory term for clothes, Ing saplutmo cuanmo, instead of saying ing imalan mo, pick up your clothes that are scattered here and there on the floor"
Sapni,"To carry, or support with the palms of the hands, likeabig platter carried on the palms"
Sapo,"Red clay mixture, used in giving luster to the gold"
Sapua,"The trunk, or roots of the banana plant"
Sapuc,"The dashing of the water as when the waves splash, or break apart as they hit the shore, or againstabanca"
Sapul,to grip or hold onto a tree or arm
Sapuli,The plow turning up the soil
Sapupu,To hold on the lap
Saput,"The cloth in which something is wrapped, orashroud"
Saquildap,"To move with extreme brevity, likealighning"
Saquim,"Past, sequiman, that which, like the estate of another"
Saquirap,"At the blink, or wink of an eye"
Saquit,"Masaquit, painful, likeasore eye"
Sarap,"Flavor, or relish of food"
Sasa,"The nipa palm, and its fruits"
Sasag,Interweaving of bamboo slats which are placed as fence along the roads
Sasal,Mas asal
Sasmo,Rarely used
Satsat,"To do away with the soft hair, rarely used"
Saua,fed up; glutted; no longer liking something from overexposure
Sauac,"to consume, eat, or drink everything up completely"
Sauay,to hinder; to obstruct; to prevent someone from doing something
Sauali,something woven of bamboo splices in the manner of a palm mat
Sauanin,"N oun , a se rious a ilmen t, likethat oftheh eart"
Sauang,an opening; a hole or window; the gap between two trees or a broken wall
Sauaua,"to become mixed or intermingled (as water and wine, but not water and oil)"
Sauil,"A d jectiv e , sin iste r, inau sp ic ious"
Sauili,Synonymof Sauil
Saul,a defeated or subdued object; that which is pressed down by a heavier one
Saung,"A hovel, shanty, hut, like that ofapoor negrito"
Saup,"Help, assistance, aid"
Saupang,"Forked pole, forked-rest foramusket, or forabier, bamboo stilts, and the crossed poles used to support banana plants which are tilting"
Sausig,"But Usig is more letting go, or take along; sausig is like, let us go along, let us follow its steps"
Saijt,present but unused and serving no purpose (like an idle tool)
Seca,"Shafts of palay, blades of grass, dead leaves that are usually found on the surface of the water"
Segasag,Which speaks of the continuity and speed of what one is doing
Sibad,"A little bird, like the swallow which appears like hopping,or skipping when it flies"
Sibambala,Or Sibambalo
Sibaung,"Insects that are like black wasps, which destroy the palm trees, and they say they could penetrate the ears of people and they are killed byastrong wine"
Sibsib,"To eat sparingly, or very light food, likemorsels, or tidbits"
Sibug,"Said of the sum, or total, or the whole"
Sibul,"Fountain, spring, or source of water, orageyser"
Sibut,Or go there to see?
Sicad,to make firm; to kick or strike with the foot (as a horse with its hind legs)
Sican,"N oun , thep owe rsof thebody"
Sicang,"crossbeam or crossbar for a new boat, or for stretching fresh hide so it does not shrink"
Sicap,diligence; industry; to strive hard
Sicat,to spring up; to appear suddenly
Siclaud,to spread or open wide
Sicmat,the speed with which a crocodile or fish snaps at its food
Sic-Cuan,"A bamboo knitting needle, to knit/weave, or sew nets; shuttle: verb, manviccuan"
Sic-Coy,A white and long gourd/ calabash
Sicut,Hiccup
Sid-Duan,"The part that is more upright, contrary to Diquing"
Sigay,A known shellfish
Sigam,"Cough, the sound of clearing the throat"
Sigamot,"The remains of badly cut, or badly cleared grass, or badly reaped palay, or badly shaved beard, etc"
Sigasig,The labored breathing of an asthmatic
Sigla,"Masigla, it is said of the location, time, painting, embroidery, and people"
Sili,"Future, isili, to sift the rice clean, by separating the binglad and the dara"
Silid,"Room, private room"
Silim,"Of Ca, casiliman, like cabengian, be caught up by twilight"
Silip,"And its infinitive, manyilip, to pry (peep) throughakeyhole, or small openings/cracks in the wall"
Silmac,"Past, one who / that which"
Silo,"Noose, snare, a loop, ligature"
Silsil,to test by touching (e.g. water to check if it is hot or cold)
Silong,Or Ilung
Sima,"To close, or shut up, like the mouth, or the lips"
Sindac,"Anguish, grief"
Sin?Ap,"Frequentative, Sin?ap sin?ap, one who is running out of breath, has failing breath, like one drowning, or one who is near death (agonizing)"
Sin?A,"Sin? sin?, to sway, to lilt like one who is very tired"
Singcol,"Maimed in the arm, or twisted arm"
Singga,"To quarrel, to break offafriendship"
Sin?Il,To collect debts
Sin?It,"The groin, the part next to the thigh, the joint"
Sinsin,"The close-weave ofacloth, or compressed letters, oracrammed, or tighly"
Sinta,"Love that always carnes with it that pain and anxiety to enjoy his beloved, and imbibe that intrinsic desire to be with her"
Sintac,"N oun , aga mew ithstone s ( jack s tone s ) , that is , wit hfives tone s"
Sintang,to love; to cherish; affection
Sintuc,a blow or bruise on the head caused by a knuckle strike
Sinuyud,"N oun , ace rta inwe ave"
Sinup,to stop up or cover by patching or mending (a house with many leaks)
Siolan,"N oun , ana ncient small fla sk , orb o ttle"
Sipa,to eat making mouth sounds (as a pig does)
Sipag,"N oun , d iligen c e ( con trar y tola zin ess )"
Sipan,a small toothbrush made from luyos husk; to brush or clean the teeth with it
Siping,"P repo s itio n , nea r, nex t to"
Sipit,"N oun , c laws , tong s , p ince r s , includingtheu seo f twop iece sof b ambo o"
Sipsip,"To suck, draw, or sip, like suckingacigar, or the fingers P"
Siput,"Uncircumcised, as practiced in this land, contrary to Tuli"
Siquit,"To place among those that are already crowded, or close to each other"
Sira,"A destroyed thing, cast away as lost, or spoiled"
Siri,"Highly effective, quickly effective, very active element, like fine gunpowder, deadly poison, ardent color, strong wine, strong scented tobacco, or like the fire^ of hell, the sharpest mind, like San Agustn"
Sirul,"Synonym of Sintuc, to strike the head with bare knuckles"
Sisi,"Repentance, contrition, compunction, retractation, regret, acknowlege error, show sorrow for it"
Suat,A charge
Suba,That which is carried along in this manner
Subali,Of exception
Subung,"And its infinitive, manvubuns"
Suca,The thing vomited
Sucab,"To pry open, oyster shells, clams, mussels, large oysters"
Sucad,"A long measure, likearod, a yardstick, and also the stature"
Sucal,"Thing that impedes/ hinders, likearoad that is littered, or in part, badly swept, orafield not well cleared"
Suco,"(Sucu.) Neutral verb and its infinitive, to submit oneself to another, to give up, to surrender"
Sucub,Breast of an animal
Sucsuc,A thorn
Sucul,something with no way out; a dead end
Sucung,"To double, or to connect / join both ends ofarattan, and knot them, or fasten them together"
Sud-Dia,"The pointed end ofaskirt, or of an ancient tunic worn by men"
Sudlung,to splice a rope by adding a length to it; to insert bamboo into another to extend it
Sudsud,The paddle ofaplow
Suyi,"A thing in reverse, that is upside down, like the feet are above, and the head is below"
Suic,"A small porcelain plate, which serves as salt pan, or saucer for mustard"
Suyo,"Service, like that ofaservant/slave to his master"
Sula,"Certain stones, sulan bitin, sulan daguis; I didnt know there were such things"
Sulacbit,"A ctive verb and its infinitive, manvulacbit"
Sulad,"The fashion, the finish, the spun"
Sul-Liao,"A bowl, a large bowl"
Sulilap,Synonym of Suliap
Sulib,"Mussels, a species of shell fish"
Suling,"N eutral verb and its frequentative, sulingsuling, to walk inadaze, like one who is sleep walking (half- asleep), and is said ofaboat that is badly steered"
Sulip,Of place
Sulit,That which
Sljlmuc,"That which, or the motive"
Sulpa,"A thing that is inserted, or fits closely, likeacork stopper, ofacask, vat, tub, or, a bar across the door, or window fitted in its socket , or holder"
Sulpung,"A certain kind of arrow which instead of an iron arrowhead, hasapiece of wood at its tip"
Sulput,"Amorsecos, or burry love grass"
Sulsul,To startafire
Sulo,"That cut of bamboo containing petroleum or pitch, and topped withawick"
Sulut,"One who lives, or resides in the house of another, for having no house of his own"
Suma,"A herb, creeping, or climbing upwards, yellow in color, said to be medicinal"
Sumalangcat,"Is said of posts that are wide apart below, like inahut with four bamboos placed in suchaposition to serve as posts"
Sumami,"Nausea, or abhorrence ofadirty thing, like seeing two animals in their acts of turpitude, or dirty words, and obscenities, indecencies"
Suman,"A filling of glutinous rice, or, com flour, wrapped around in leaves"
Sumang,To navigate against the wind
Sumanga,"The prow, because it is set against every thing: it is derived from Sumang"
Suman?Id,"The other side, direction, or position"
Sumbacad,"That resentment, or displeasure cause by word that prick, or hurt deeply"
Sumbal,"Pasumbal, pepasumbal, to dissuade, to get an idea out of ones head"
Sumbat,"N oun , amo ralimpe d imen t"
Sumbia,"N oun , asw ingingc radle , orh amm ock , whe re they p lace ach ild in stead oftheu sua lcr adle"
Sumbo,the light of an oil lamp or candle
Sumbong,accusation; charge; complaint made to an authority
Sumpa,"N oun , ano a th , asus edin th is land"
Sumpal,a stopper or plug (such as banana core used to plug a large earthen jar)
Sumpit,syringe; blowpipe made of bamboo or reed for shooting a missile or water
Sumpung,"To meet by chance, to stumble upon, (not the slip of the feet), to come upon on the way"
Sun,"Past, sinan, or, sinunan, the place reached by the high tide, or the place up to where"
Sunab,"To dive, or to plunge in"
Sundang,"Sharp pointed knife, like that used in slicing bread"
Sundul,To poke from below
Sun?Ab,"A synonym of Sunab, to dive, to duck"
Sun?Al,Toothless
Supan,"Supan supan, and Mi, frequentative, become suspicious, or one who is frightened"
Supapi,To whom
Supil,to trample; to subjugate (the powerful over the powerless)
Suppling,"Offshoots, offspring, saifof the seed thatmultiplies or reproduces, in the sense, that from one stock, or grain, four, or more shoots spring up: these are the Suppling"
Sutla,"Silk, so ft, flowing silk"
Susun,"To double the fold, or crease, like in the waistband of an underwear, or pair of pants"
Susup,"Past, Sisup, that with which"
Susut,"A pouch, or money-bag, with folds or creases"
Sut,One who is brought for reconciliation
Tabilo,"Tabiliuan, tebiliuan, that which"
Tabing,curtain; screen; drapery; tapestry
Tab-Blan,to be affected by the wind; wind-struck
Tabo,dipper or ladle for drawing water or mixed lime
Tabsing,saltiness from tidal influence
Tabtab,to cut with a stroke (e.g. holding bamboo and chopping it)
Tabubuc,wild bitter gourd
Tabug,anger or vexation causing one to reject what was previously desired
Tabugnus,Tabili is let fall
Tabun,dam; dike; embankment of a river
Tabulan,one who has a big paunch; pot-bellied
Tacad,to inflict a wound from above downward (e.g. with a lance)
Tacas,escapee; someone who fled or avoided taxes
Tacbang,the foot (when stepping); footstep
Tacday,the arm (in general)
Tacla,excrement; feces
Taclas,That which
Tacman,to taste or test food (as a cook does)
Tacmus,"to draw out (e.g. a sword from a scabbard, a ring from a finger)"
Tagay,to pour a drink; a poured drink passed among companions
Tagal,to run after; to follow; to catch up with someone
Tagan,leftover food or cloth after cutting a garment
Tag-Gan,"A swordfish, in Tagalog"
Tagana,something set aside for a secret purpose
Tagpus,pierced through; penetrated completely
Tagquig,a small bird species
Tagtag,"And its infinitive, manaztag"
Tagulaling,allowance; allotted portion
Tagun,the motive or person and what they carry
Taguri,a tender loving term mothers use for their children; like calling them my angel or my sunshine
Tagusao,to splash water by beating it with the hands (as children play)
Tagustus,"N eutral verb , and that"
Tagusgus,"Synonymof Tagustus, tofail inwhata notherhaddoneea sily , andbecauseofthisbecomesanobjectofmoc kery , andmuch jokingb yothers"
Tay,In te rjectio n
Taip,"A c tivev erb and its infin itiv e , manaip, toun ite , orjo inath ingtoan o ther, like a mat toan o ther mat, one ru g , orm a ttingtoan o ther, join ingthem ason e , eve nse w ingthem toon ean o ther"
Tais,"A c tivev erb and its infin itiv e , manais"
Tayacad,a parapet or sun shed; a lean-to placed by sidewalk vendors for shade
Tayac,"N oun , that c lo thof hem p , orevospa lmsw ithwh ichthey w rapthed eer soitwo u ldno tda retoju mpo rescap e"
Tayag,M anavas
Tayang,Bamboo sticks used to make arrows
Taid,The spur ofacock
Tayi,Needlework
Tail,The equivalent and coin ofatael = ten reals / ten silver coins
Taila,Lullaby
Tayo,"Synonym of Taya, in as much as it is the exposure of the calves of the legs"
Tayom,"A bush, orasmall tree from which blue dye is produced"
Tala,"A thing placed asatarget, to shoot at it"
Talab,"The shape of the neckline, one for the dress-coat, the other for the religious habit"
Talaba,"Oysters, shells for making lime"
Talabid,"To make one stumble, or fall into some harm"
Talabis,"Deep cleft, or hollow on sloping ground on the mountain side"
Talabo,"N oun , aho le in thef loor, bec aus eon epiece ofw ood ismissin g , and a lsotheh o leon theg roun d"
Talac,to rise and leave the ring of spectators; to go in front to dance or perform
