Kapampangan,English
Banlat,"Cage for pigs, or for loadingacow inabanca, oratrap for wild pigs, also called banlat having the same appearance, but hasatrap door"
Banli,Maneli
Banlic,"Sandbank or silt left behind byaflood, like rubbish, or sand"
Banglon,"Ses Lamo, more commonly used"
Banos,"Young shoots of the nipa (sasa), used as material for making palm-mats, palm-bags"
Bansag,"Title or surname, appellation, good or bad, by which somebody is called or named to tell who he is (identify) or where he was born, because the native ordinarily does not haveafamily name or surname, exceptafirstborn son, who is called Pun Pedro by his father; otherwise"
Bansana,A thing or work done in vain
Bansao,"Unfinished, done half-way, deficient, not well executed, like the work of the sanglay (a job, a task)"
Bantag,"Also, to do something whereuponathief who has come to burglarize in the night flees away because he was made to know that there are people who are awake inside the house, or when boys break in at an orchard to steal fruits, you giveashout to scare them away, or likealawyer intimidatingarascal"
Bantay,"Sentinel, being on guard"
Bantal,"To pry, to scrutinize, to espy"
Bantala,to do something in the manner of the devil; diabolical action
Bantilan,"Like Ati, the landing of the stairs"
Bantilao,"Half cooked, or, half roasted"
Banting,A thing that is given fraps
Banto,"To temper, like, hot with cold; strong wine with insipid wine; P"
Bantug,"Divulged, or, published"
Bantung,"D efective, Sabing mabantungbantung, rumors spreading quickly; pibantung-bantungda, they are saying all over, they say it everywhere"
Bantut,"Fetidness, strong stench"
Banua,"Sky, year"
Ban-Nua,"Alan caban-nua, rarely used: alan capara, no peer, peerless"
Ban?A,"Large narrow-mouthed pitcher; earthenware decanter, or shaker"
Bangay,Odor of excrement
Bangal,"A thing divided at the middle, likeabamboo, a stick, oralemon"
Ban?An,"Careless, negligent, like one who could gain something, but loses it to another due to negligence"
Ban?At,A trap used in hunting animals or fowl
Bangbang,"A ditch oratrench to drain water fromaplace, like the ricefield"
Bangcay,"A corpse, cadaver"
Bangcala,"The empty pod or shell, like, of cotton or kapok"
Bangcat,A small trap for catching fish
Bangcuang,"A bag made of large leaves, manufactured in the province of Laguna"
Bangciid,A curved bolo / knife used for cutting /harvesting sugar cane
Bangculala,B irdseyeview
Bangcuro,A bark used for dyeing things in red
Bangga,"To quarrel, to clash, to collide, like sea vessels or sea crafts"
Ban?Il,Tusk or canine tooth ofawild boar
Ban?Is,"Brave, Ma, neutral, manis, to become cruel brave or fierce"
Banglo,"Sweet scent, fragrance"
Bangnas,"Putrid, acrid, sour smell, smell of spoiled food or milk"
Bangsali,Inconsistent or inconsequent
Bangtay,"To putathing over and across another, and become placed, intransitive"
Bangtut,stench of stagnant water
Ban?Un,to raise up; to erect; to build up
Ban?Us,milkfish (bangus)
Bangyaga,"small-quantity merchandise (e.g. coconuts, betel nuts, betel leaves)"
Bapa,uncle; stepfather; respectful address for an older man
Baquis,large monkey species
Baquit,Why (adverb)
Barag,lizard; iguana
Barali,honey-based sauce for meat or fish
Baranggay,a spiny species of fish
Baril,firearm; musket; gun
Barit,a loose shirt or dress (not a fitted jacket)
Basa,wet; to read
Basac,to drip; to drop
Basal,tool or instrument used for a purpose
Basan,rags; old cloth; burlap
Bascal,antique necklace; dog collar
Basibas,"an object thrown or flung (stick, stone)"
Basig,large fattened pig
Ba?Lan,Defective verb
Basli,flute; piccolo; native wind instrument
Baso,to mime or rehearse a blow or action
Bastagan,frame for stretching cloth or a garment
Basul,stake used to mark the exact spot for other stakes
Bata,patient; one who suffers or endures
Batabat,fence or barrier blocking a passage
Batac,Batacan
Batag,wheat-like rice spikes that are edible
Batal,neck
Batala,a bird considered an omen or augury
Batalay,needlefish; hornfish
Batanglaua,spiderweb
Batao,one slowed down by a burden; to go slowly
Batas,to draw a conclusion; to infer upon reflection
Batbat,whip; lash
Batcal,Batcalan
Batea,round trough for washing clothes
Batiao,Batiauan
Batibut,small solid canes sprouting beside larger ones
Batic,dark spots appearing spontaneously on the skin
Batic-Cuas,Batic-cuasan
Bating,Mamatins
Batis,stream; brook
Bato,a singsong a mother makes while a child rides on her knees
Batobalani,lodestone; magnet
Batobato,turtle dove; ring dove
Batoc,hasty; in a hurry
Batug,sluggishness; weakness (as of a horse that will not respond to spurs)
Batuin,stars
Batulalan?An,shortsighted; can barely see at dusk or nightfall
Batulang,"Small net, bag- net, with which to carryawater trough or large earthen jar, etc"
Bauai,A long pole used asafishing rod
Baual,"Prohibited thing / forbidden thing; bongan baual, forbidden fuit"
Bauang,Garlic
Bauas,Bauasnan
Bauebaue,"A shrub that is well known and useful in medicine, especially against tapeworms, according to the Flora, page"
Baug,"A discolored ridge or swelling or bruise of the skin or weal caused byablow, not by whipping"
Baui,"To retract what was said, to recover what was lost"
Baul,"A thing manufactured inarough stage, likeabanca orawood carving, orasculpture not yet perfected"
Bauo,"Scent, or warm exhalation from the earth, good or bad"
Baut,Bautan
Becut,"To pull upwards, like, going up the stairs or pull out the banca from the river"
Belan,Defective root
Belatan,"Fake gold, alchemy, orathing badly plated"
Belita,Small bundles or stacks of harvested palay which are later carried away to formabigger stack
Benat,Relapse
Ben?I,The night
Benus,"Mabebenusnacoynaua, I am already running out of breath / lam already exasperated"
Betu,"A species of cane from whichastick, or arrow is made"
Biyai,"Ibiyai, biniyai, that with which one vivifies, maintains, or preserves life, and the one whose life is sustained, conserved, like, fish inapond, aquarium, fish pen, in the concept of the P"
Bia,A small white fish well known locally
Biabas,Guava tree and its fruits
Bias,"What comes between one joint and another joint, or the part between two nodes, like, the bamboo, or, sugarcane; Cabas, one such part; verb, umbias"
Biasa,accustomed; familiar; used to something
Biasbias,A medicinal plant
Bivi,A domesticated duck
Bical,A species of thin reeds
Bican,"The skull, cranium"
Bicang,"Ibicang, mamicans to divide, to break open the shells like, that of oysters, or to spread the legs apart"
Bicas,edge or seam of cloth; fabric border
Biclad,"Past, biniclad, the person caught by surprise"
Bicti,To choke or strangle another by squeezing around his neck with your hands or witharope / cord
Bicus,A bond coiled around to keep firm
Bidbid,"To tie around, coilingarope like tying the penitents to the crossbars they are carrying"
Bidso,"Almost, nearly"
Biga,cloud
Bigac,Synonym of abiac
Bigla,Defective root
Bigo,one who failed or missed the mark; the unfortunate or unlucky one
Big-Guas,That with which
Bijag,"To put in chains, to capture, a Tagalog word"
Bijira,Rare
Bilac,"Bilacbilac, to skip or jump with open legs, like, an immodest girl"
Bilad,"Athing exposed to the sun, or dry"
Bilang,"A tree, whose roots and sap are useful in painting and in medicine, according to the Flora, page"
Bilao,"Manilao, to deceive with an obvious thing"
Bilas,"In-laws, the spouses of two brothers or sisters"
Bilasa,"Rotten fish, decaying fish, and it may refer also to one that hasacertain disease as manifested by the paleness of its flesh or meat"
Bilbil,Flabbiness
Bilig,"Cloudiness of the eye; Biligan, one who has this white spot in the eye /eyes, and biliganan, the who becomes afflicted with this ailment of the eye"
Bilin,"Message, instruction, command, recom-mendation, testament, and its infinitive, Man?abilin"
Biling,"And neutral, past and future, and its infinitive, miling, to turn or be turned from one side to the other, or from top to bottom"
Bilis,"The speed of the the wind, not strong but stable"
Biluc,"Bilucbiluc, to wriggle, to glide likeasnake, likeaboat making turns throughawinding river"
Bilug,The roundness or entirety ofathing
Bilutug,Toasted rice or com kernels
Bina,Very
Binanao,"A small dart, once it pierces, it cannot be retrieved"
Bindong,"A thing that spins when thrown, like one that spins about when kicked or when cast by the hand, but it does not have to beaball"
Bini,"Seed in general; bibini, mibibini, to produce them or keep them for sowing"
Binit,Maminit
Binlit,Ibinlit
Bintal,Bintalan
Bintang,"Falsehood, or falsewitness"
Binti,"Courage, manliness"
Binticujul,"A species of small bananas, a Tagalog word"
Binting,Two silver reals
Bintol,A net used for catching crabs
Bin?Ao,"Notched, dented, likeaknife"
Bingbing,"Cabingbin?an, the place or port into which it is forced by the winds"
Bingcayo,"Lullaby, a song to lull babies to sleep"
Bingcas,"Past, Biningcas, what is broke open"
Bingcong,"Crooked or warped, likearod"
Bingculan,"The front edge ofatapis, alias Salucsucan, Opposite of salimpat"
Binglad,"Broken grains of rice, left after pounding"
Bingsal,"A thing wedged, like an implement or instrument"
Bingut,An infant (not yet baptized)
Binyag,From an unknown root
Bio,"Interjection, oraword for driving away birds"
Bioc,"Scar, including that on wood or stone"
Bic-Quia,"Those black fragments discharged by the sea, looking like liver"
Biray,A kind of boat
Birang,a tear or piece torn from cloth
Biri,cucumber seeds (white)
Biro,"A trick or joke in words, or in deeds"
Biruc,A kind of big boat / large ship
Bisa,"Defective verb, means to like"
Bisaclat,The legs
Bisala,"A kind of reed or cane growing on salty water, very similar to the sugar cane"
Bislac,"Parted or divided lengthwise, likeacane or bamboo or stick"
Bislug,A thing divided into big slices
Bis-Suang,Fissures or cracks in the feet
Bista,Although
Bitag,Trap for birds
Bitana,A net for fishing
Bitaog,"A tree of second class timber, popularly called, palo-maria"
Bitas,"A thing tom, likeacloth, or something opened, likeabreach in the 86 breakwater, or Watergate of the canal through which the water flows or released down the river; also, the one missing front teeth, and from this, bitasabalun?us, one who cannot keep secrets, or cannot keep his mouth shut, and says everything to everybody"
Bitasa,"Surely, like in ascertaining ifathing is already finished"
Bitauac,"Similar to bitas, but denotes greater extent or quantity, and this is said ofagrievous or mortal wound"
Bitbit,To carry hanging from the hand
Bitic,"A garter similar to thatof the dyed Bacay, bound around the legs to walk better; if you want to know more, ask / consult the Zambals"
Bitin,"A boa, (dumb snake), usuallyavery big one, so large, that coiling onabranch, they say it could seize and lift upadeer; from this derives the active verb and its infinitive, ibitin"
Bitis,leg; foot
Bito,"That part targeted byadog, a baril or spear inaa hunt"
Bitoca,"The intestines, or tripes"
Bitog,"(N.S sic.) Neutral verb, past, Minitog, and its infinitive, mitos, to coagulate like blood, or milk"
Biton?Ol,"Hairy worms, like those of dried fish, when it has spoiled"
Bitqui,"Migbitqui, to be bored or to despair due to sadness"
Bitquil,"Contrition, repentance, anguish of heart, heavy sorrow"
Bitsay,Sifter for rice
Biyuas,Little edible fruits
Buac,"Hair; verb, mamuac"
Buagan,"Acute condition, tight situation"
Bual,"Lump, clod, as of raw sugar or earth, or overboiled rice"
Buan?Ev,"Very fine sand, like the sand on the beach"
Buangis,"Tyrannical, fierce and savage, although not as much as ambuangan"
Buan?It,"A harsh person, of bad dispostion"
Buat,"A certain cloth embroidered in the loom, which is no longer in use; its design is inlaid and raised over the field / scope of the cloth"
Bubu,The clown or the comedian inastage play
Bubud,Ibubud
Bubug,"Crystal, glass"
Bubung,To make or put coverings on the roof
Bubut,"Green, likeafruit, that is, tiie fruit which is not yet mature or ripe, it is yetabud"
Bucadcad,Mamucadcad
Bucal,"Fountain, spring, from which water comes out in spurts or jets, as if it were boiling, bubbling, seething"
Bucalcal,Synonym of Bucadcad
Bucas,Tomorrow
Bucayo,"Conserve, preserve, jam"
Bucbuc,"Weevils in wood, or bamboo"
Buclat,Ibuclat
Buclud,"A strong fastening, like that ofascabbard, or ofacracked jar to preventafragment from falling out"
Bucocao,"Malignant abscess, tumour"
Bucsi,A large plane used for smoothing wood surfaces
Buctut,"Manga, many women becoming pregnant"
Bucu,"Node ofareed, or cane / bamboo"
